epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,45.8117,1.359,1.34279,1.47822,0.72784,0.1,0.09577,0.04836,2.33028,2.57982,2.27774,0.000447598,0.000447598,0.000447598
43,46.7645,1.27557,1.26563,1.366,0.72784,0.1,0.09577,0.04836,2.33028,2.57982,2.27774,0.000435004,0.000435004,0.000435004
44,47.7071,1.3109,1.19675,1.42497,0.74878,0.09951,0.08818,0.04268,2.59707,2.87653,2.38466,0.000421309,0.000421309,0.000421309
45,48.619,1.33509,1.29488,1.45084,0.74878,0.09951,0.08818,0.04268,2.59707,2.87653,2.38466,0.000406515,0.000406515,0.000406515
46,49.5319,1.33937,1.30244,1.40343,0.00512,0.4,0.0532,0.01249,2.59903,3.09763,2.59238,0.00039062,0.00039062,0.00039062
47,50.4024,1.1309,1.20344,1.32089,0.00512,0.4,0.0532,0.01249,2.59903,3.09763,2.59238,0.000373625,0.000373625,0.000373625
48,51.7459,1.21496,1.18654,1.38139,0.07989,0.28597,0.07427,0.01463,2.68093,2.99806,2.86347,0.000355529,0.000355529,0.000355529
49,53.0452,1.21235,1.17016,1.34189,0.07989,0.28597,0.07427,0.01463,2.68093,2.99806,2.86347,0.000336334,0.000336334,0.000336334
50,54.1029,1.16653,1.06047,1.3671,0.64511,0.1,0.07835,0.01827,2.6816,3.08062,2.7726,0.000316038,0.000316038,0.000316038
51,55.9824,1.15237,1.06051,1.41611,0.64511,0.1,0.07835,0.01827,2.6816,3.08062,2.7726,0.000291725,0.000291725,0.000291725
52,57.2379,0.97967,1.04554,1.26084,0.61272,0.1,0.08067,0.01964,2.58156,3.01421,2.56513,0.00026422,0.00026422,0.00026422
53,58.1471,1.08517,1.06297,1.26866,0.61272,0.1,0.08067,0.01964,2.58156,3.01421,2.56513,0.000236714,0.000236714,0.000236714
54,59.1434,0.9896,1.04768,1.24063,0.61888,0.2,0.10021,0.03105,2.39273,2.98383,2.32707,0.000209209,0.000209209,0.000209209
55,60.0321,0.97442,0.93302,1.22903,0.61888,0.2,0.10021,0.03105,2.39273,2.98383,2.32707,0.000181703,0.000181703,0.000181703
56,60.928,0.97272,0.94444,1.22673,0.66182,0.2,0.13683,0.05528,2.23103,2.56079,2.27406,0.000154198,0.000154198,0.000154198
57,61.8377,1.05645,1.07029,1.34588,0.66182,0.2,0.13683,0.05528,2.23103,2.56079,2.27406,0.000126692,0.000126692,0.000126692
58,62.7634,1.00057,0.91455,1.23248,0.64924,0.3,0.20861,0.0912,2.21895,2.37102,2.28852,9.91865e-05,9.91865e-05,9.91865e-05
59,63.796,1.03202,0.9398,1.25913,0.64924,0.3,0.20861,0.0912,2.21895,2.37102,2.28852,7.1681e-05,7.1681e-05,7.1681e-05
60,65.2929,1.11233,1.01968,1.31627,0.63489,0.3,0.20453,0.09236,2.20809,2.3696,2.24454,4.41755e-05,4.41755e-05,4.41755e-05
